"analysis_protocol","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se","scope"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.01,5,0.4,0.547722557505166,0.244948974278318,0.00418300653594771,0.00574643258570804,0.00256988277795261,0.00418300653594771,0.00574643258570804,0.00256988277795261,0.00827909954123546,0.0113727126013486,0.00508603169303678,0,0,0,1,0,0,0.502091503267974,0.00287321629285423,0.0012849413889764,0.4,0.547722557505166,0.244948974278318,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.05,5,0.916666666666667,0.117851130197758,0.052704627669473,0.0582434235848073,0.0440224356971506,0.0196874317507884,0.0582434235848073,0.0440224356971506,0.0196874317507884,0.107160648703684,0.0772020629013945,0.0345258121301465,0.0833333333333334,0.117851130197758,0.052704627669473,0.998705488060327,0.00177259894637697,0.00079273034818868,0.528474455822567,0.0222882650784095,0.00996761516317167,5,3.3166247903554,1.48323969741913,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.1,5,0.950565405556331,0.0525411088829151,0.0234970982150832,0.208521839849497,0.079144490876505,0.0353944923288954,0.208521839849497,0.079144490876505,0.0353944923288954,0.335101470421848,0.111709547205721,0.0499580282575426,0.0494345944436689,0.0525411088829151,0.0234970982150832,0.996094673890734,0.00420775967327389,0.00188176733248455,0.602308256870115,0.0384330223357369,0.0171877701046951,19.6,9.26282894152753,4.1424630354416,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.001,5,1,0,0,0.433844878255834,0.120519509586129,0.0538979632099045,0.433844878255834,0.120519509586129,0.0538979632099045,0.597084459952259,0.120276514525747,0.0537892925152621,0,0,0,1,0,0,0.716922439127917,0.0602597547930649,0.0269489816049524,37.8,14.7546602807384,6.59848467452945,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.005,5,0.996923076923077,0.00688020916153764,0.003076923076923,0.569249750900177,0.121271594143353,0.0542343056488608,0.569249750900177,0.121271594143353,0.0542343056488608,0.718628819452527,0.0958371197322892,0.042859662897837,0.00307692307692308,0.00688020916153782,0.00307692307692308,0.999328859060403,0.00150071676342285,0.000671140939597392,0.78428930498029,0.0604388091942107,0.0270290571674789,49.2,16.7690190530037,7.49933330370107,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.01,5,0.986077656414679,0.00842344380848484,0.00376707859208436,0.611209240254531,0.120869229314679,0.0540543626271264,0.611209240254531,0.120869229314679,0.0540543626271264,0.74900095269473,0.090647736440445,0.040538900137464,0.0139223435853214,0.0084234438084849,0.00376707859208439,0.997411294161228,0.00144964418813612,0.000648300589571973,0.80431026720788,0.0600038187640038,0.026834523533178,53.4,17.5299743297017,7.83964284900785,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.05,5,0.949872711149335,0.0434491642374264,0.0194310569600876,0.7154847284722,0.0951029877523811,0.0425313490955308,0.7154847284722,0.0951029877523811,0.0425313490955308,0.811104134724142,0.049117624812262,0.0219660695947096,0.0501272888506649,0.0434491642374264,0.0194310569600876,0.986898477253087,0.0125796387593383,0.00562578547965431,0.851191602862644,0.0418548450787081,0.0187180557567428,65.6,21.5127868952398,9.62081077664455,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-original",0.1,5,0.913576834492502,0.0435439354556712,0.0194734399373488,0.764227718605329,0.0885358127998467,0.0395944191727306,0.764227718605329,0.0885358127998467,0.0395944191727306,0.82785910952004,0.0367037347202221,0.0164144091725072,0.0864231655074979,0.0435439354556713,0.0194734399373488,0.977297382442502,0.015266304429832,0.00682729889406209,0.870762550523915,0.0367256978124987,0.0164242313659725,72.6,22.4343486644921,10.0329457289472,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.001,5,1,0,0,0.187259470289675,0.101861129918892,0.045553682152716,0.187259470289675,0.101861129918892,0.045553682152716,0.304962357391293,0.153115224259882,0.0684752099670441,0,0,0,1,0,0,0.593629735144837,0.0509305649594456,0.0227768410763579,16.6,9.20869154657707,4.1182520563948,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.005,5,1,0,0,0.244024949550541,0.134133904336719,0.0599865056368713,0.244024949550541,0.134133904336719,0.0599865056368713,0.375870922863101,0.191168894312268,0.0854933285731409,0,0,0,1,0,0,0.622012474775271,0.0670669521683591,0.0299932528184356,22,13.0575648572006,5.83952052826257,"four-replicate baseline"
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.01,5,0.994594594594595,0.0120868539324313,0.00540540540540539,0.266294833471822,0.15180656673987,0.0678899605322417,0.266294833471822,0.15180656673987,0.0678899605322417,0.399872662730924,0.208480867080649,0.0932354781600857,0.0054054054054054,0.0120868539324313,0.0054054054054054,0.999328859060403,0.00150071676342285,0.000671140939597392,0.632811846266112,0.0756672090241514,0.0338394046091376,24.2,14.7885090526395,6.61362230551458,"four-replicate baseline"
