"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,90,0.961863799283154,0.937289077704555,0.914145779314319,0.966666666666667,91,0.866666666666667,0.142857142857143,0.861878453038674,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,90,0.92505376344086,0.820509407905585,0.923710746182656,0.977777777777778,29,0.288888888888889,0.103448275862069,0.436974789915966,0.0869565217391304,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,90,0.937706093189964,0.874559792625195,0.929110589784747,0.966666666666667,58,0.588888888888889,0.0862068965517241,0.716216216216216,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,90,0.958458781362007,0.926224310774737,0.93177758571017,0.966666666666667,65,0.722222222222222,0,0.838709677419355,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Two 25% tails",400,90,0.956594982078853,0.926229509940675,0.913783594682471,0.966666666666667,71,0.744444444444444,0.0563380281690141,0.832298136645963,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Two 25% tails",400,90,0.925304659498208,0.814794860657953,0.923677820307034,0.977777777777778,26,0.255555555555556,0.115384615384615,0.396551724137931,0.0869565217391304,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Two 25% tails",400,90,0.924838709677419,0.845013883478684,0.92520887352348,0.966666666666667,54,0.544444444444444,0.0925925925925926,0.680555555555556,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Two 25% tails",400,90,0.951362007168459,0.911713151728173,0.925834465160308,0.966666666666667,65,0.7,0.0307692307692308,0.812903225806452,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Unsorted 0-100%",400,90,0.498458781362007,0.240408357269285,-0.0403588920442853,0.488888888888889,0,0,0,0,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Unsorted 0-100%",400,90,0.500824372759857,0.223301189311596,-0.0241922871136354,0.433333333333333,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Unsorted 0-100%",400,90,0.515985663082437,0.246080422350473,0.0430094250318969,0.477777777777778,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Unsorted 0-100%",400,90,0.517096774193548,0.246092917937605,0.0479812322508952,0.466666666666667,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,79,0.809692811230727,0.68328591288894,0.873101265822785,0.924050632911392,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,1,FALSE
