"analysis_protocol","moi","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","average_precision",3,0.00328106032070241,0.000636138518328935,0.00170080463742453,0.0048613160039803
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","effect_spearman_active",3,0.00877882267261028,0.00206390709117882,0.00365179323386406,0.0139058521113565
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","calls",3,-566.666666666667,36.6787858759438,-657.781821882314,-475.551511451019
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","directional_recall",3,-0.234087268521966,0.0151978031476475,-0.271840704456795,-0.196333832587137
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","realized_fdp",3,-0.066456761587835,0.00189205222671784,-0.0711568798768259,-0.061756643298844
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","f1",3,-0.142163144668765,0.00998360252413718,-0.166963788198099,-0.11736250113943
"crispulator-moi-10k-v1",0.3,"MAGeCK-MLE","BARCS-moderated","negative_control_gene_p_below_0_05",3,NA,NA,NA,NA
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","auroc",3,-0.00091839123479213,0.000182625406187208,-0.0013720578934255,-0.000464724576158764
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","average_precision",3,-0.00169269621547541,0.000276537332447297,-0.00237965303171458,-0.00100573939923624
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","effect_spearman_active",3,-0.00179162076581193,0.000453202090923872,-0.00291743717092002,-0.000665804360703835
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","calls",3,580.666666666667,49.7426711519731,457.099021374855,704.234311958478
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","directional_recall",3,0.0868246368167658,0.0107149942990975,0.0602071153971878,0.113442158236344
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","realized_fdp",3,0.166414940838303,0.0110771294998961,0.138897825709669,0.193932055966937
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","f1",3,-0.0367303920898896,0.00511209440630267,-0.0494295385906139,-0.0240312455891652
"crispulator-moi-10k-v1",0.3,"DESeq2","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0660933763461569,0.0142442491726447,0.0307086998008219,0.101478052891492
