"analysis_protocol","method","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"barcs-external-headtohead-v1","edgeR-QL",400,79,0.824322725659529,0.724048720110071,0.871226874391431,0.924050632911392,98,0.670886075949367,0.459183673469388,0.598870056497175,0.1,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","DESeq2",400,79,0.829370243306124,0.725733701393662,0.871835443037975,0.924050632911392,51,0.556962025316456,0.137254901960784,0.676923076923077,0.05,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","limma-voom",400,79,0.818407665917426,0.721578963846786,0.868841285296982,0.924050632911392,101,0.658227848101266,0.485148514851485,0.577777777777778,0.1,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,60,0.829607843137255,0.606585499789511,0.794276187829953,0.933333333333333,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,60,0.778186274509804,0.49720252618902,0.802611836621284,0.983333333333333,9,0.133333333333333,0.111111111111111,0.231884057971014,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,60,0.833186274509804,0.586146756456325,0.805056960266741,0.983333333333333,4,0.0666666666666667,0,0.125,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,60,0.808970588235294,0.510319613184524,0.841900527924424,0.983333333333333,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,60,0.848725490196078,0.69751190903584,0.797777160322312,0.933333333333333,121,0.766666666666667,0.619834710743802,0.50828729281768,0.25,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","DESeq2",400,60,0.843725490196078,0.700939593322609,0.792998055015282,0.933333333333333,37,0.516666666666667,0.162162162162162,0.639175257731959,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","limma-voom",400,60,0.861764705882353,0.698523793582627,0.801611558766324,0.933333333333333,111,0.8,0.567567567567568,0.56140350877193,0.2,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,92,0.802018633540373,0.615717199074305,0.834116794846107,0.934782608695652,0,0,0,0,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,92,0.765422077922078,0.559625566457202,0.843533745357027,0.956521739130435,9,0.0760869565217391,0.222222222222222,0.138613861386139,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,92,0.80275974025974,0.627663390504307,0.846030547292819,0.956521739130435,3,0.0326086956521739,0,0.0631578947368421,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,92,0.796513269339356,0.568179114717537,0.867484549111477,0.956521739130435,1,0.0108695652173913,0,0.021505376344086,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,92,0.841685488424619,0.700805325784194,0.836721483285298,0.923913043478261,157,0.804347826086957,0.528662420382166,0.594377510040161,0.222222222222222,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","DESeq2",400,92,0.835721343873518,0.692104138602537,0.83456375321733,0.923913043478261,44,0.369565217391304,0.227272727272727,0.5,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","limma-voom",400,92,0.840732636928289,0.714979720009813,0.839048749287178,0.923913043478261,139,0.739130434782609,0.503597122302158,0.597402597402597,0.222222222222222,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,102,0.724832214765101,0.61459692037991,0.791756902703406,0.92156862745098,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,102,0.711837083826819,0.560087153135902,0.83219772576915,0.911764705882353,17,0.147058823529412,0.117647058823529,0.252100840336134,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,102,0.732596394262403,0.61620888368634,0.838338488331986,0.901960784313726,8,0.0784313725490196,0,0.145454545454545,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,102,0.714271614686143,0.535100667584134,0.852768714906899,0.911764705882353,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,102,0.745591525200684,0.645614333466751,0.786373840125303,0.892156862745098,135,0.607843137254902,0.533333333333333,0.531645569620253,0.35,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","DESeq2",400,102,0.741150151335702,0.640611320471744,0.78538996104065,0.911764705882353,30,0.264705882352941,0.1,0.409090909090909,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","limma-voom",400,102,0.746907487827346,0.642872474570454,0.782901990941527,0.892156862745098,121,0.57843137254902,0.504132231404959,0.538116591928251,0.35,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,90,0.784121863799283,0.644132392753195,0.878503518952957,0.933333333333333,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,90,0.783799283154122,0.617424993370622,0.870683623492612,0.944444444444444,12,0.133333333333333,0,0.235294117647059,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,90,0.793799283154122,0.66326554382764,0.875227394328518,0.944444444444444,14,0.155555555555556,0,0.269230769230769,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,90,0.788888888888889,0.575758131382774,0.883047289788863,0.955555555555556,4,0.0444444444444444,0,0.0851063829787234,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,90,0.816451612903226,0.711256464328193,0.870831789932914,0.933333333333333,121,0.688888888888889,0.487603305785124,0.587677725118483,0.217391304347826,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","DESeq2",400,90,0.818817204301075,0.710349126904239,0.869547680783636,0.933333333333333,38,0.388888888888889,0.0789473684210526,0.546875,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","limma-voom",400,90,0.812186379928315,0.711161521617096,0.869399514343335,0.933333333333333,110,0.644444444444444,0.472727272727273,0.58,0.173913043478261,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,79,0.932016246697425,0.8684135468367,0.934493670886076,0.987341772151899,58,0.683544303797468,0.0689655172413793,0.788321167883212,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,79,0.921171970503569,0.838224116279314,0.93047711781889,0.987341772151899,49,0.556962025316456,0.102040816326531,0.6875,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,79,0.933909065814898,0.87425665147833,0.929990262901655,0.987341772151899,44,0.556962025316456,0,0.715447154471545,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,79,0.930123427579952,0.864586081230961,0.937122687439143,0.987341772151899,44,0.531645569620253,0.0454545454545455,0.682926829268293,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,79,0.934145668204582,0.878984603028868,0.933714703018501,0.987341772151899,89,0.822784810126582,0.269662921348315,0.773809523809524,0.15,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","DESeq2",400,79,0.934303403131038,0.876176109789566,0.934785783836417,0.987341772151899,82,0.772151898734177,0.25609756097561,0.75776397515528,0.1,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","limma-voom",400,79,0.936432824638196,0.879546146997169,0.934298928919182,0.987341772151899,88,0.822784810126582,0.261363636363636,0.778443113772455,0.1,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,60,0.929705882352941,0.853402035158294,0.89369269241456,0.983333333333333,49,0.7,0.142857142857143,0.770642201834862,0.1,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,60,0.900980392156863,0.727506593483037,0.903806612948041,0.966666666666667,26,0.383333333333333,0.115384615384615,0.534883720930233,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,60,0.93156862745098,0.848917556010806,0.906418449569325,0.966666666666667,33,0.533333333333333,0.0303030303030303,0.688172043010753,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,60,0.952254901960784,0.874472058658952,0.907474298416227,0.983333333333333,36,0.583333333333333,0.0277777777777778,0.729166666666667,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,60,0.945637254901961,0.882632339325867,0.891636565712698,0.983333333333333,77,0.85,0.337662337662338,0.744525547445255,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","DESeq2",400,60,0.943872549019608,0.882780180972426,0.876910252848013,0.966666666666667,70,0.816666666666667,0.3,0.753846153846154,0.15,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
