"analysis_protocol","design","method","shared_guide_fit_seconds","gene_aggregation_seconds","converged_fraction","guide_control_scale","gene_null_scale","prior_tau2","prior_df","scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","total_seconds"
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.441,0.481,0.999,1.27983307520082,1.36006037752141,0.00304245198719813,4,"moi_0.1_quality_0.9_genes_400_replicates_4",20250727,0.1,0.9,400,4,0.922
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.549,0.165,1,1.14874826902921,NA,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250728,0.1,0.9,400,4,0.714
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.549,0.404,1,1.14874826902921,1.59749737188517,NA,NA,"moi_0.1_quality_0.9_genes_400_replicates_4",20250728,0.1,0.9,400,4,0.953
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.549,0.357,1,1.14874826902921,1.41285285845294,0.00298133954338961,4,"moi_0.1_quality_0.9_genes_400_replicates_4",20250728,0.1,0.9,400,4,0.906
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.42,0.152,0.9995,1.65486227324624,NA,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250724,0.4,0.9,400,4,0.572
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.42,0.505,0.9995,1.65486227324624,1.40979407002998,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250724,0.4,0.9,400,4,0.925
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.42,0.522,0.9995,1.65486227324624,1.28347049007256,0.00445333438705259,4,"moi_0.4_quality_0.9_genes_400_replicates_4",20250724,0.4,0.9,400,4,0.942
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.869,0.179,0.9985,1.36202305444241,NA,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250725,0.4,0.9,400,4,1.048
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.869,0.524,0.9985,1.36202305444241,1.38700260174509,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250725,0.4,0.9,400,4,1.393
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.869,0.441,0.9985,1.36202305444241,1.32639854559456,0.00456068897890981,4,"moi_0.4_quality_0.9_genes_400_replicates_4",20250725,0.4,0.9,400,4,1.31
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.441,0.157,0.9995,1.03595565368893,NA,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250726,0.4,0.9,400,4,0.598
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.441,0.422,0.9995,1.03595565368893,1.37488025255052,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250726,0.4,0.9,400,4,0.863
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.441,0.377,0.9995,1.03595565368893,1.19167419671388,0.00556325796747298,4,"moi_0.4_quality_0.9_genes_400_replicates_4",20250726,0.4,0.9,400,4,0.818
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.461,0.161,1,1.30155289819537,NA,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250727,0.4,0.9,400,4,0.622
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.461,0.515,1,1.30155289819537,1.51360234817793,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250727,0.4,0.9,400,4,0.976
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.461,0.396,1,1.30155289819537,1.46699386930047,0.00496515435628737,4,"moi_0.4_quality_0.9_genes_400_replicates_4",20250727,0.4,0.9,400,4,0.857
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.448,0.146,1,1.37229990201445,NA,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250728,0.4,0.9,400,4,0.594
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.448,0.401,1,1.37229990201445,1.52400688124213,NA,NA,"moi_0.4_quality_0.9_genes_400_replicates_4",20250728,0.4,0.9,400,4,0.849
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.448,0.384,1,1.37229990201445,1.27225303404201,0.00494680918815073,4,"moi_0.4_quality_0.9_genes_400_replicates_4",20250728,0.4,0.9,400,4,0.832
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.944,0.317,0.999,1.34963658405755,NA,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250724,0.25,0.9,1000,4,1.261
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.944,0.885,0.999,1.34963658405755,1.42240271740331,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250724,0.25,0.9,1000,4,1.829
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.944,0.764,0.999,1.34963658405755,1.31108691909195,0.00492136164960969,4,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250724,0.25,0.9,1000,4,1.708
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.99,0.321,0.9996,1.30167560392841,NA,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250725,0.25,0.9,1000,4,1.311
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.99,0.96,0.9996,1.30167560392841,1.32171506465803,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250725,0.25,0.9,1000,4,1.95
