"analysis_protocol","method","nominal_fdr","genes","active_genes","calls","true_positive","false_positive","true_negative","false_negative","precision","recall","directional_recall","f1","realized_fdp","specificity","balanced_accuracy","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"crispulator-f1-threshold-curves-v1","DESeq2",0.01,400,79,64,61,3,318,18,0.953125,0.772151898734177,0.772151898734177,0.853146853146853,0.046875,0.990654205607477,0.881403052170827,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","DESeq2",0.005,400,79,58,56,2,319,23,0.96551724137931,0.708860759493671,0.708860759493671,0.817518248175183,0.0344827586206897,0.993769470404984,0.851315114949328,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","DESeq2",0.001,400,79,55,54,1,320,25,0.981818181818182,0.683544303797468,0.683544303797468,0.805970149253731,0.0181818181818182,0.996884735202492,0.84021451949998,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","limma-voom",0.1,400,79,92,71,21,300,8,0.771739130434783,0.89873417721519,0.89873417721519,0.830409356725146,0.228260869565217,0.934579439252336,0.916656808233763,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","limma-voom",0.05,400,79,82,68,14,307,11,0.829268292682927,0.860759493670886,0.860759493670886,0.84472049689441,0.170731707317073,0.956386292834891,0.908572893252888,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","limma-voom",0.01,400,79,60,57,3,318,22,0.95,0.721518987341772,0.721518987341772,0.820143884892086,0.05,0.990654205607477,0.856086596474624,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","limma-voom",0.005,400,79,55,53,2,319,26,0.963636363636364,0.670886075949367,0.670886075949367,0.791044776119403,0.0363636363636364,0.993769470404984,0.832327773177176,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","limma-voom",0.001,400,79,54,53,1,320,26,0.981481481481482,0.670886075949367,0.670886075949367,0.796992481203008,0.0185185185185185,0.996884735202492,0.83388540557593,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.1,400,60,40,39,1,339,21,0.975,0.65,0.65,0.78,0.025,0.997058823529412,0.823529411764706,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.05,400,60,35,35,0,340,25,1,0.583333333333333,0.583333333333333,0.736842105263158,0,1,0.791666666666667,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.01,400,60,29,29,0,340,31,1,0.483333333333333,0.483333333333333,0.651685393258427,0,1,0.741666666666667,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.005,400,60,27,27,0,340,33,1,0.45,0.45,0.620689655172414,0,1,0.725,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-original",0.001,400,60,16,16,0,340,44,1,0.266666666666667,0.266666666666667,0.421052631578947,0,1,0.633333333333333,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,400,4,TRUE
