"analysis_protocol","replicates","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se"
"crispulator-f1-threshold-curves-v1",3,"BARCS-EB",0.05,5,1,0,0,0.372278445041565,0.113976933885293,0.0509720344069028,0.372278445041565,0.113976933885293,0.0509720344069028,0.534028959879462,0.128818980986917,0.0576095996557997,0,0,0,1,0,0,0.686139222520782,0.0569884669426465,0.0254860172034514,31.2,10.6630202100531,4.76864760702655
"crispulator-f1-threshold-curves-v1",3,"BARCS-EB",0.1,5,0.985288231148696,0.013936694501519,0.00623267925740882,0.472344380056187,0.105400433008188,0.0471365066128441,0.472344380056187,0.105400433008188,0.0471365066128441,0.632453677057018,0.101023914888228,0.0451792682086462,0.0147117688513037,0.013936694501519,0.00623267925740882,0.998095462475962,0.00174504902597056,0.000780409649227994,0.735219921266075,0.0524594132626009,0.0234605628229859,39.8,8.5848704125339,3.83927076409049
"crispulator-f1-threshold-curves-v1",3,"BARCS-NORM",0.001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",3,"BARCS-NORM",0.005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",3,"BARCS-NORM",0.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"crispulator-f1-threshold-curves-v1",3,"BARCS-NORM",0.05,5,0.4,0.547722557505166,0.244948974278318,0.0166666666666667,0.0288675134594813,0.0129099444873581,0.0166666666666667,0.0288675134594813,0.0129099444873581,0.0315573770491803,0.0541309514349398,0.024208097419053,0,0,0,1,0,0,0.508333333333333,0.0144337567297406,0.00645497224367903,1.4,2.60768096208106,1.16619037896906
"crispulator-f1-threshold-curves-v1",3,"BARCS-NORM",0.1,5,0.99047619047619,0.021295885499998,0.00952380952380953,0.0996033827216449,0.0822669982853518,0.036790920094181,0.0996033827216449,0.0822669982853518,0.036790920094181,0.17257622702303,0.133870395830866,0.0598686610505242,0.00952380952380952,0.021295885499998,0.00952380952380952,0.999328859060403,0.0015007167634227,0.000671140939597325,0.549466120891024,0.0406455417933133,0.0181772388864315,9.2,8.78635305459552,3.9293765408777
"crispulator-f1-threshold-curves-v1",3,"BARCS-original",0.001,5,1,0,0,0.237305261491865,0.093809917033322,0.0419530702900247,0.237305261491865,0.093809917033322,0.0419530702900247,0.375688422157322,0.130479981929242,0.0583524218593458,0,0,0,1,0,0,0.618652630745933,0.046904958516661,0.0209765351450123,19.8,8.61394218694321,3.85227205685164
"crispulator-f1-threshold-curves-v1",3,"BARCS-original",0.005,5,1,0,0,0.386651271038593,0.0908166337502504,0.0406144333106523,0.386651271038593,0.0908166337502504,0.0406144333106523,0.552424348880818,0.100355721031954,0.0448804428316908,0,0,0,1,0,0,0.693325635519297,0.0454083168751252,0.0203072166553262,32.2,8.1363382427232,3.63868107973205
"crispulator-f1-threshold-curves-v1",3,"BARCS-original",0.01,5,0.995833333333333,0.00931694990624914,0.00416666666666667,0.450175574908004,0.108342272734057,0.0484521373340345,0.450175574908004,0.108342272734057,0.0484521373340345,0.613407555415486,0.110633320952797,0.0494767252454014,0.00416666666666667,0.00931694990624912,0.00416666666666667,0.999328859060403,0.0015007167634227,0.000671140939597325,0.724752216984203,0.0541352480243694,0.0242100189122602,38,11.4017542509914,5.09901951359278
"crispulator-f1-threshold-curves-v1",3,"BARCS-original",0.05,5,0.969444009069726,0.0265324736574896,0.0118656829418738,0.603952791536721,0.124197940606624,0.0555430075723786,0.603952791536721,0.124197940606624,0.0555430075723786,0.736839870758466,0.0926567131757434,0.0414373418465325,0.0305559909302739,0.0265324736574896,0.0118656829418738,0.994268711395669,0.00621767859286347,0.00278063039917759,0.799110751466195,0.0597152665243497,0.0267054790485927,53,16.7779617355625,7.50333259292163
