gene_id	SYMBOL	HT29_LARGE_INTESTINE
RGPD5 (84220)	RGPD5	3.18428029441938
STMN4 (81551)	STMN4	0.0426443374084937
NUDCD3 (23386)	NUDCD3	4.99593670350459
ISL1 (3670)	ISL1	2.60644222813161
CHDH (55349)	CHDH	3.57773093149008
IL20RA (53832)	IL20RA	2.26002565596146
CLCA1 (1179)	CLCA1	0.0285691521967709
CLCA4 (22802)	CLCA4	0.238786859587116
GLT8D1 (55830)	GLT8D1	4.77135740899056
ATP2C1 (27032)	ATP2C1	5.33949373790173
IGF1 (3479)	IGF1	0
SLC38A5 (92745)	SLC38A5	6.33664044640873
RALBP1 (10928)	RALBP1	5.49984588708321
RUFY3 (22902)	RUFY3	4.13010717865883
CNTN1 (1272)	CNTN1	0.0143552929770701
SLC11A1 (6556)	SLC11A1	0.344828496997441
WWTR1 (25937)	WWTR1	0.214124805352847
AGPS (8540)	AGPS	4.15704371014558
CXorf56 (63932)	CXorf56	4.96162332828694
ATP1A2 (477)	ATP1A2	0
TTC27 (55622)	TTC27	3.52481592835751
ZNF582 (147948)	ZNF582	0
VSIG2 (23584)	VSIG2	6.26753579806874
PHLDB1 (23187)	PHLDB1	6.40531168259745
MARCO (8685)	MARCO	0
CYP24A1 (1591)	CYP24A1	1.0071955014042
PRDM11 (56981)	PRDM11	0.918386234446348
SYT13 (57586)	SYT13	2.39506279951758
SNAI2 (6591)	SNAI2	0.0565835283663675
CD74 (972)	CD74	1.81966818349646
HGF (3082)	HGF	0.20163386116965
ZRANB1 (54764)	ZRANB1	2.84197311892718
NCDN (23154)	NCDN	4.47638168756724
ADGRA2 (25960)	ADGRA2	0.0143552929770701
ZFP64 (55734)	ZFP64	3.84799690655495
MNAT1 (4331)	MNAT1	4.75808993420181
SAMD4A (23034)	SAMD4A	1.90689059560852
RUNX3 (864)	RUNX3	0.20163386116965
MRE11 (4361)	MRE11	4.38887833881199
PLEKHB1 (58473)	PLEKHB1	5.09971599916091
SERPINB1 (1992)	SERPINB1	6.9525665409428
