"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","calls","directional_recall","realized_fdp","f1","negative_control_gene_p_below_0_05","guide_fit_seconds","prior_df","control_scale_original","control_scale_moderated","moi","seed","genes_simulated","replicates","scope"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",9517,1933,0.950838111001242,0.910528923059433,0.926182257161699,2046,0.842731505431971,0.203323558162268,0.819301331992963,0.136645962732919,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",9517,1933,0.950649569109471,0.912388064829366,0.927166289120466,2089,0.849456802897051,0.21254188606989,0.818000994530085,0.134575569358178,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",9517,1933,0.955297767947769,0.918221452664081,0.935393202089534,1088,0.558717020175892,0.00735294117647059,0.714995034756703,NA,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",9517,1933,0.950590359861259,0.910869047747009,0.92544330569131,2172,0.855147439213658,0.238029465930018,0.806333739342265,0.146997929606625,70.0110000000001,45.1413913320019,1.3236156778414,1.28551326403769,0.2,20250726,10000,4,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",9475,1956,0.948071701655057,0.905910491681191,0.92393770079906,1561,0.739775051124744,0.0730301089045484,0.822860392379869,0.0533333333333333,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",9475,1956,0.956492563760083,0.923376720922852,0.92393770079906,1628,0.777096114519427,0.0663390663390663,0.848214285714286,0.060952380952381,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-original","low-high",9475,1956,0.941016636518094,0.89069391883635,0.923946193851097,1272,0.626278118609407,0.0369496855345912,0.758983890954151,0.0304761904761905,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",9475,1956,0.957295437788006,0.9249092859011,0.923946193851097,1631,0.781697341513292,0.0625383200490497,0.852522999721215,0.0628571428571429,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",9475,1956,0.955378888819082,0.920076166801784,0.92246316248821,2099,0.856850715746421,0.201524535493092,0.826633785450062,0.12952380952381,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",9475,1956,0.955227194039585,0.92046309197938,0.923631378468539,2139,0.8640081799591,0.209911173445535,0.825396825396825,0.11047619047619,106.08,43.6259304865123,1.25120976762081,1.29096794488533,0.3,20250724,10000,4,"supplementary"
