"analysis_protocol","scope","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-original","auroc",5,-0.0266238847020182,0.0201153135219422,-0.0516003453147952,-0.00164742408924115
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-original","average_precision",5,-0.0709002342170934,0.036346101438359,-0.116029879848166,-0.025770588586021
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-original","directional_recall_fdr_0_10",5,0.128342236179006,0.030354800253222,0.0906517735319141,0.166032698826099
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-original","empirical_fdp_fdr_0_10",5,0.0901960784313724,0.0933977551785424,-0.0257725516868728,0.206164708549618
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-original","f1_fdr_0_10",5,0.224325828215322,0.0496200695134709,0.162714374312077,0.285937282118567
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-original","negative_control_p_below_0_05",5,0.018695652173913,0.0257037065284477,-0.0132197148428556,0.0506110191906817
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","BARCS-original","auroc",5,0.00156031919053861,0.00935394493918244,-0.0100541374816245,0.0131747758627017
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","BARCS-original","average_precision",5,-0.000402561443400029,0.0168212671075084,-0.0212889232149623,0.0204838003281623
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","BARCS-original","directional_recall_fdr_0_10",5,0.117285369477088,0.0882748349978552,0.00767768491287384,0.226893054041303
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","BARCS-original","empirical_fdp_fdr_0_10",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","BARCS-original","f1_fdr_0_10",5,0.201376722692512,0.135777278517816,0.0327869641828545,0.36996648120217
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-EB","BARCS-original","negative_control_p_below_0_05",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-original","auroc",5,-0.0100506324854088,0.0102578188385509,-0.0227873968373337,0.00268613186651617
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-original","average_precision",5,-0.0848211980550144,0.0319632975957103,-0.124508873943481,-0.045133522166548
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-original","directional_recall_fdr_0_10",5,0.0135944475019874,0.0182321269180492,-0.00904372810283604,0.0362326231068108
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-original","empirical_fdp_fdr_0_10",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-original","f1_fdr_0_10",5,0.0263223518645619,0.0348792438171074,-0.0169859494677116,0.0696306531968353
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-original","negative_control_p_below_0_05",5,0.00758454106280192,0.0423944353826706,-0.045055103076036,0.0602241852016399
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-original","auroc",5,0.0253006951822794,0.0103502894285541,0.0124491134278548,0.038152276936704
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-original","average_precision",5,0.0629837655678376,0.0264676922485683,0.0301197849872536,0.0958477461484216
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-original","directional_recall_fdr_0_10",5,0.707726518969356,0.0782597956989531,0.610554148143185,0.804898889795528
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-original","empirical_fdp_fdr_0_10",5,0.525723488742763,0.0608361827487173,0.450185390835535,0.60126158664999
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-original","f1_fdr_0_10",5,0.56417163081875,0.0413821103987997,0.512788954166867,0.615554307470634
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-original","negative_control_p_below_0_05",5,0.216811594202898,0.0935419960229297,0.100663865421107,0.33295932298469
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-original","auroc",5,0.0237022133079516,0.00979092824172578,0.0115451702012042,0.035859256414699
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-original","average_precision",5,0.061083991161786,0.0271321269825381,0.0273950058928755,0.0947729764306965
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-original","directional_recall_fdr_0_10",5,0.419357736123251,0.118034751043841,0.27279823521517,0.565917237031333
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-original","empirical_fdp_fdr_0_10",5,0.141127431963345,0.0579575151061566,0.0691636720306797,0.213091191896011
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-original","f1_fdr_0_10",5,0.554412848749189,0.107621402846498,0.420783227398508,0.68804247009987
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-original","negative_control_p_below_0_05",5,0.018695652173913,0.0257037065284477,-0.0132197148428556,0.0506110191906817
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","BARCS-original","auroc",5,0.025945102002198,0.0113795840097959,0.0118154822226992,0.0400747217816968
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","BARCS-original","average_precision",5,0.064959709748183,0.0314866928555405,0.0258638168069586,0.104055602689407
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","BARCS-original","directional_recall_fdr_0_10",5,0.684046819975468,0.0864131569401513,0.57675071403175,0.791342925919185
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","BARCS-original","empirical_fdp_fdr_0_10",5,0.506634541770689,0.036536534296895,0.461268442515097,0.55200064102628
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","BARCS-original","f1_fdr_0_10",5,0.570940095176111,0.0223463008603915,0.543193497904733,0.598686692447489
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","BARCS-original","negative_control_p_below_0_05",5,0.198115942028985,0.0925660467443213,0.083180014330515,0.313051869727456
