"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.4_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-partial","BARCS-original",5,0.0138072524918976,0.0147860208000861,-0.0045520172122613,0.0321665221960565
"moi_0.1_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,-0.00132423984086403,0.0123159534574012,-0.0166165158524723,0.0139680361707442
"moi_0.25_quality_0.6_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.031497975708502,0.0324372105808694,-0.00877814087191776,0.0717740922889217
"moi_0.25_quality_0.75_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.028590700379843,0.0143130665563401,0.0108186809329411,0.0463627198267449
"moi_0.25_quality_0.9_genes_100_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,0,0,0,0
"moi_0.25_quality_0.9_genes_1000_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.0132960878715411,0.00644575438380429,0.00529262671190719,0.0212995490311749
"moi_0.25_quality_0.9_genes_400_replicates_1","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.012648479681728,0.0258872261133927,-0.0194947569966321,0.0447917163600881
"moi_0.25_quality_0.9_genes_400_replicates_3","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.0071582836032966,0.0158278769243603,-0.0124946213416817,0.0268111885482749
"moi_0.25_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.00333333333333341,0.00745355992499947,-0.00592148368399278,0.0125881503506596
"moi_0.25_quality_0.9_genes_400_replicates_6","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.00109341333304558,0.0177553999959672,-0.0209528276156542,0.0231396542817453
"moi_0.4_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-original",5,0.0116333394484194,0.0118352923241361,-0.00306211693867772,0.0263287958355165
"moi_0.1_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0.00222222222222219,0.00496903994999947,-0.00394765578932838,0.00839210023377276
