"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",3e-06,3,0.999517607332368,0.362196456875569,0.362196456875569,0.000482392667631452,0.000835528609536361,0.531657045275827,0.0115505681202277,705.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",1e-05,3,0.999578592498946,0.411685612261182,0.411685612261182,0.000421407501053519,0.00072989920251533,0.583131568775812,0.0105829854015452,801.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",3e-05,3,0.999256334525105,0.457248841919797,0.457248841919797,0.000743665474895072,0.000644614043433809,0.627352826824499,0.0101884850845094,890.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",1e-04,3,0.997975690424789,0.509839149823313,0.509839149823313,0.00202430957521146,0.00106099115244187,0.67477480021832,0.0158181198767944,994.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",3e-04,3,0.995730003043725,0.564262671282847,0.564262671282847,0.00426999695627456,0.00283932698631897,0.720247203391097,0.0139809616759526,1103
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.001,3,0.989076004770272,0.621790700544156,0.621790700544156,0.010923995229728,0.00227905491960823,0.76348124963674,0.0130798934585957,1223.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.003,3,0.979791614844328,0.680030599570429,0.679858156045684,0.0202083851556716,0.00272992230207532,0.802780457663793,0.00973064631722774,1351
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.01,3,0.952392779865221,0.742361666290014,0.742189222765269,0.0476072201347791,0.00320014828816139,0.834277779068944,0.00898423170445803,1517.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.03,3,0.900776139060413,0.801790035672237,0.801445148622745,0.0992238609395868,0.00260131956699739,0.848338201982397,0.00748596684725246,1732.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.05,3,0.8635220609208,0.825765714489241,0.825250411625162,0.1364779390792,0.00150907942044887,0.844180323434813,0.00847344516852865,1861.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.1,3,0.786010986863196,0.862265371894386,0.861577625505561,0.213989013136804,0.00321331576876973,0.822347788140833,0.00391553731190594,2135.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","limma-voom",0.2,3,0.668785910147964,0.901167981667222,0.899623052072438,0.331214089852036,0.00306714784634033,0.767774883400773,0.00262407251692064,2622.66666666667
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",1e-06,3,1,0.15773788329249,0.15773788329249,0,0,0.272487556105113,0.00384522293372108,307
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",3e-06,3,1,0.191987524604805,0.191987524604805,0,0,0.322129107467316,0.00157317904412678,373.666666666667
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",1e-05,3,1,0.234106008904075,0.234106008904075,0,0,0.379389230892269,0.00328970128061911,455.666666666667
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",3e-05,3,1,0.275045776472339,0.275045776472339,0,0,0.431410878867989,0.00649913663490635,535.333333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",1e-04,3,1,0.329500274290184,0.329500274290184,0,0,0.495672466168731,0.00256348013274727,641.333333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",3e-04,3,0.999546485260771,0.382762700972864,0.382762700972864,0.000453514739229025,0.000785510570326021,0.553530422967746,0.00699065026020761,745.333333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.001,3,0.99961285327139,0.446458667278208,0.446458667278208,0.000387146728610143,0.000670557803936848,0.617209761693936,0.00799630953770967,869.333333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.003,3,0.998334582802431,0.52099378847953,0.52099378847953,0.00166541719756917,0.00210269586190365,0.68463377544443,0.0108579198580735,1015.66666666667
