"analysis_protocol","moi","design","scope","method","metric","runs","mean","sd","se"
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","auroc",3,0.95363737279132,0.00198650284340907,0.00114690795138818
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","average_precision",3,0.917555780849883,0.00283571079537109,0.00163719839105143
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","effect_spearman_active",3,0.923313820637251,0.00285994789398549,0.00165119168646083
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","calls",3,2123.33333333333,24.5831920899897,14.1931125706958
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","directional_recall",3,0.858337488172482,0.00701601420788652,0.00405069769156152
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","realized_fdp",3,0.212886540115048,0.00261121813928821,0.00150758749563088
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","f1",3,0.821336662984774,0.00432834438802679,0.00249897079757267
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","limma-voom","negative_control_gene_p_below_0_05",3,0.10648049175855,0.0119704530868257,0.00691114431200063
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","auroc",3,0.958660905687823,0.00167673135307824,0.00096806129805841
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","average_precision",3,0.923460673166298,0.00335802751416566,0.00193875808924972
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","effect_spearman_active",3,0.93205405510295,0.00113706040212161,0.000656482129249777
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","calls",3,1073.33333333333,12.0138808606267,6.93621734889494
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","directional_recall",3,0.549609499644412,0.00914888115979649,0.0052821090003924
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","realized_fdp",3,0.00342425901799346,0.00237287637637881,0.00136998081465601
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","f1",3,0.708461048946299,0.0078044188538915,0.00450588332616285
