"analysis_protocol","scope","method","metric","runs","mean","sd","se","minimum","maximum"
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","empirical_fdp_fdr_0_10",5,0,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","f1_fdr_0_10",5,0.0263223518645619,0.0348792438171074,0.0155984720357683,0,0.0851063829787234
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","negative_control_p_below_0_05",5,0.018695652173913,0.0257037065284477,0.0114950470142629,0,0.05
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","auroc",5,0.815355368476827,0.0410957702062072,0.018378587153758,0.745591525200684,0.848725490196078
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","average_precision",5,0.69584735054501,0.0299310303495998,0.0133855636996629,0.645614333466751,0.724048720110071
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","directional_recall_fdr_0_10",5,0.707726518969356,0.0782597956989531,0.0349988446176209,0.607843137254902,0.804347826086957
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","empirical_fdp_fdr_0_10",5,0.525723488742763,0.0608361827487173,0.0272067680235464,0.459183673469388,0.619834710743802
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","f1_fdr_0_10",5,0.56417163081875,0.0413821103987997,0.0185066423808234,0.50828729281768,0.598870056497175
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","negative_control_p_below_0_05",5,0.22792270531401,0.0892999121880131,0.0399361348074319,0.1,0.35
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","auroc",5,0.813756886602499,0.0415983061957678,0.0186033280805175,0.741150151335702,0.843725490196078
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","average_precision",5,0.693947576138958,0.0323125802167646,0.0144506251786201,0.640611320471744,0.725733701393662
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","directional_recall_fdr_0_10",5,0.419357736123251,0.118034751043841,0.0527867454082585,0.264705882352941,0.556962025316456
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","empirical_fdp_fdr_0_10",5,0.141127431963345,0.0579575151061566,0.0259193887168674,0.0789473684210526,0.227272727272727
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","f1_fdr_0_10",5,0.554412848749189,0.107621402846498,0.0481297545197319,0.409090909090909,0.676923076923077
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","negative_control_p_below_0_05",5,0.0298067632850242,0.0275434349422919,0.0123177985729615,0,0.0555555555555556
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","auroc",5,0.815999775296746,0.0433019267043102,0.0193652103335102,0.746907487827346,0.861764705882353
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","average_precision",5,0.697823294725355,0.0318459823796856,0.0142419562822475,0.642872474570454,0.721578963846786
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","directional_recall_fdr_0_10",5,0.684046819975468,0.0864131569401513,0.0386451386137072,0.57843137254902,0.8
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","empirical_fdp_fdr_0_10",5,0.506634541770689,0.036536534296895,0.0163396348700219,0.472727272727273,0.567567567567568
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","f1_fdr_0_10",5,0.570940095176111,0.0223463008603915,0.00999356955389947,0.538116591928251,0.597402597402597
"barcs-external-headtohead-v1","one-replicate boundary","limma-voom","negative_control_p_below_0_05",5,0.209227053140097,0.0911710808217305,0.0407729468599034,0.1,0.35
