"scenario_id","method","design","moi","high_quality_guide_fraction","genes","replicates","is_baseline","metric","n","mean","sd","se"
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.1,0.9,400,4,FALSE,"average_precision",5,0.880752089608163,0.0123054542282358,0.00550316642966951
"moi_0.1_quality_0.9_genes_400_replicates_4","BARCS-partial","Unsorted 0-100%",0.1,0.9,400,4,FALSE,"average_precision",5,0.229396938067779,0.0482539919274009,0.0215798412270789
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-EB","Low + bulk + high",0.25,0.6,400,4,FALSE,"average_precision",5,0.652043622421783,0.0790446712178291,0.0353498516204374
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-EB","Two 25% tails",0.25,0.6,400,4,FALSE,"average_precision",5,0.641942549248864,0.0810653392859707,0.036253521852503
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-EB","Unsorted 0-100%",0.25,0.6,400,4,FALSE,"average_precision",5,0.204984750387926,0.0340879048928483,0.0152445745101913
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-NORM","Low + bulk + high",0.25,0.6,400,4,FALSE,"average_precision",5,0.478605389319737,0.0739638809728583,0.0330776531470029
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-NORM","Two 25% tails",0.25,0.6,400,4,FALSE,"average_precision",5,0.477356228337873,0.0785019035951146,0.0351071185603623
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-NORM","Unsorted 0-100%",0.25,0.6,400,4,FALSE,"average_precision",5,0.183312268169841,0.0414648185030694,0.0185436305695108
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-original","Low + bulk + high",0.25,0.6,400,4,FALSE,"average_precision",5,0.702176468918708,0.0793839675608472,0.0355015895579385
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-original","Two 25% tails",0.25,0.6,400,4,FALSE,"average_precision",5,0.671409139048061,0.081763624024195,0.036565804280967
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-original","Unsorted 0-100%",0.25,0.6,400,4,FALSE,"average_precision",5,0.203216692123034,0.0331233542735376,0.0148132143596877
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.25,0.6,400,4,FALSE,"average_precision",5,0.543544277697437,0.0734347507223445,0.0328410189051828
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.25,0.6,400,4,FALSE,"average_precision",5,0.526693120507356,0.0792413936797553,0.035437828579951
"moi_0.25_quality_0.6_genes_400_replicates_4","BARCS-partial","Unsorted 0-100%",0.25,0.6,400,4,FALSE,"average_precision",5,0.204868306073588,0.0341943795643936,0.0152921914308828
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-EB","Low + bulk + high",0.25,0.75,400,4,FALSE,"average_precision",5,0.816710794124914,0.0386776147901523,0.0172971551756664
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-EB","Two 25% tails",0.25,0.75,400,4,FALSE,"average_precision",5,0.795184406193172,0.0407700471766508,0.0182329193865729
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-EB","Unsorted 0-100%",0.25,0.75,400,4,FALSE,"average_precision",5,0.216481395028415,0.0185746570748462,0.00830683917562068
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-NORM","Low + bulk + high",0.25,0.75,400,4,FALSE,"average_precision",5,0.639073838555947,0.0721070665173192,0.0322472604781649
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-NORM","Two 25% tails",0.25,0.75,400,4,FALSE,"average_precision",5,0.632209545383559,0.0795886271790607,0.0355931161216534
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-NORM","Unsorted 0-100%",0.25,0.75,400,4,FALSE,"average_precision",5,0.220819362744406,0.00837090044174436,0.00374358048412468
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-original","Low + bulk + high",0.25,0.75,400,4,FALSE,"average_precision",5,0.84220814036349,0.0333161003075405,0.0148994130065724
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-original","Two 25% tails",0.25,0.75,400,4,FALSE,"average_precision",5,0.821250645231588,0.0393081276810984,0.0175791291126355
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-original","Unsorted 0-100%",0.25,0.75,400,4,FALSE,"average_precision",5,0.219868056757942,0.0169347582997491,0.00757345414815357
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.25,0.75,400,4,FALSE,"average_precision",5,0.730623044844447,0.0547116499250285,0.024467793678707
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.25,0.75,400,4,FALSE,"average_precision",5,0.713865209049762,0.0588840270638175,0.0263337374607266
