"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"GOLGA1","GOLGA1_5",0.0680113397664203,0.0567033674081644,1.19942329486111,12,0.253510546764096,0.929448909667093,3.60408948356516e-05,1244.68039690088,2842.76969293078,TRUE,FALSE,0.0567033674081644,1.19942329486111,0.253510546764096,0.929448909667093
"VAV1","VAV1_6",0.172221993593977,0.126982612787819,1.35626437205029,12,0.199985453120764,0.824555406713305,0.000188171178361666,6362.01306258363,2953.76837073487,TRUE,FALSE,0.126982612787819,1.35626437205029,0.199985453120764,0.824555406713305
"ADORA2A","ADORA2A_5",0.189305853214371,0.125697642588744,1.50604139676461,12,0.157918902957945,0.761026388905135,0.000166108998323693,5713.82557430261,2664.87228304615,TRUE,FALSE,0.125697642588744,1.50604139676461,0.157918902957945,0.761026388905135
"PPP6C","PPP6C_6",0.170893752121188,0.146815243458554,1.16400550852495,12,0.267043156881963,0.929448909667093,0.00024801657265498,8417.8565120298,2910.45906255241,TRUE,FALSE,0.146815243458554,1.16400550852495,0.267043156881963,0.929448909667093
"FDXR","FDXR_1",0.0282171291198271,0.136255819199183,0.207089350646951,12,0.839412585475303,0.991470511544439,7.32965001081642e-05,2441.73696609683,993.251046804302,TRUE,FALSE,0.136255819199183,0.207089350646951,0.839412585475303,0.991470511544439
"FDXR","FDXR_6",-0.0142249187988065,0.104784194171932,-0.135754432347554,12,0.894266129145207,0.991470511544439,6.00926064217021e-05,2183.69397864412,1378.7839890674,TRUE,FALSE,0.104784194171932,-0.135754432347554,0.894266129145207,0.991470511544439
"PPIAL4D","PPIAL4D_5",0.0668903677775156,0.0666648456368438,1.00338292451617,12,0.3354804797449,0.946408090227719,6.14564364785023e-05,2209.51597983865,3494.93458385003,TRUE,FALSE,0.0666648456368438,1.00338292451617,0.3354804797449,0.946408090227719
"GNAS","GNAS_5",0.45833587725436,0.20090114616614,2.28140001190102,12,0.0415729511527714,0.392834664366624,0.00113828326154209,41509.0066697781,7478.89795373308,TRUE,FALSE,0.20090114616614,2.28140001190102,0.0415729511527714,0.392834664366624
"STUB1","STUB1_4",0.132935980236063,0.140806389977168,0.944104740258014,12,0.363737464853994,0.946458807590111,0.000326381533577132,11096.2217793632,4155.56306030065,TRUE,FALSE,0.140806389977168,0.944104740258014,0.363737464853994,0.946458807590111
"PTGER4","PTGER4_4",0.165523645698441,0.0986774586114001,1.6774210445598,12,0.119292992802903,0.627637850071158,0.000176855113300818,6038.96718745838,4602.34625271965,TRUE,FALSE,0.0986774586114001,1.6774210445598,0.119292992802903,0.627637850071158
"PPIAL4D","PPIAL4D_1",0.0866594668858826,0.118739880996077,0.729826122099158,12,0.479501585761867,0.969114331407468,0.000126419140211402,4248.13312757508,2257.74260731651,TRUE,FALSE,0.118739880996077,0.729826122099158,0.479501585761867,0.969114331407468
"ZC3H12A","ZC3H12A_5",0.124841308964214,0.112359372004764,1.1110894154777,12,0.28829645821889,0.938234651107479,0.000145852701139167,5121.84014897418,2915.58596224773,TRUE,FALSE,0.112359372004764,1.1110894154777,0.28829645821889,0.938234651107479
"TNFAIP3","TNFAIP3_5",0.266215269400061,0.110803934989442,2.40257956024239,12,0.0333613375494373,0.372534935968716,0.000268272599158541,9931.6810421277,5597.56328632465,TRUE,FALSE,0.110803934989442,2.40257956024239,0.0333613375494373,0.372534935968716
"GNA13","GNA13_3",0.141722038017608,0.159156091933346,0.890459399298149,12,0.390722936202557,0.946458807590111,0.000684222417423653,24184.3803193049,6839.59552700604,TRUE,FALSE,0.159156091933346,0.890459399298149,0.390722936202557,0.946458807590111
"ZC3H12A","ZC3H12A_6",0.215474128706479,0.1060646936706,2.03153491750673,12,0.0649526093383324,0.438833063918232,0.000172308534635775,5753.1708556188,3897.49426110683,TRUE,FALSE,0.1060646936706,2.03153491750673,0.0649526093383324,0.438833063918232
"PPP6C","PPP6C_5",0.0340854871678041,0.0907484014265028,0.375604271061568,12,0.713766510034739,0.991470511544439,7.87457418514107e-05,2618.59977932046,2408.61793755497,TRUE,FALSE,0.0907484014265028,0.375604271061568,0.713766510034739,0.991470511544439
"ADRB1","ADRB1_1",-0.0138718814717253,0.0891777591442643,-0.155553151422929,12,0.878971251922556,0.991470511544439,9.64090624402305e-05,3478.89368908907,3052.23783132308,TRUE,FALSE,0.0891777591442643,-0.155553151422929,0.878971251922556,0.991470511544439
"FDXR","FDXR_4",-0.0296895749588866,0.183041603019061,-0.162201239877662,12,0.873846570843397,0.991470511544439,7.25963897126692e-05,2388.83724079616,544.933469606085,TRUE,FALSE,0.183041603019061,-0.162201239877662,0.873846570843397,0.991470511544439
"NTCTRL","NTCTRL_24",0.0882130527096418,0.112812602950097,0.781943243953541,12,0.449402042288154,0.967399385912699,0.000193795777950826,6670.15464885976,3836.63505271598,TRUE,TRUE,0.112812602950097,0.781943243953541,0.449402042288154,0.967399385912699
"NTCTRL","NTCTRL_34",0.0499197123002751,0.100380631874365,0.497304224611319,12,0.627961175073214,0.991470511544439,0.000136539581211612,4668.31992569193,3410.72311240785,TRUE,TRUE,0.100380631874365,0.497304224611319,0.627961175073214,0.991470511544439
"SPTLC2","SPTLC2_1",-0.0153460961154451,0.0854647424723646,-0.179560549432502,12,0.86049388588293,0.991470511544439,6.2661699405828e-05,2160.77705160164,2162.34151076146,TRUE,FALSE,0.0854647424723646,-0.179560549432502,0.86049388588293,0.991470511544439
"LRIG3","LRIG3_4",0.0816661081277147,0.0716427487280932,1.13990752138312,12,0.276566845343896,0.93822676648309,6.99460890815165e-05,2196.54723475252,3442.6871258016,TRUE,FALSE,0.0716427487280932,1.13990752138312,0.276566845343896,0.93822676648309
"TNFAIP3","TNFAIP3_4",0.162242989107955,0.0579122200596084,2.80153288789412,12,0.0159987012427705,0.233729299373675,7.61834251213223e-05,2549.48912555578,5777.10342886487,TRUE,FALSE,0.0579122200596084,2.80153288789412,0.0159987012427705,0.233729299373675
"H2AFB3","H2AFB3_6",-0.0461916365776062,0.0918596724242449,-0.502850003255778,12,0.624171163651927,0.991470511544439,5.9399529842031e-05,2006.1883711967,1775.1555334192,TRUE,FALSE,0.0918596724242449,-0.502850003255778,0.624171163651927,0.991470511544439
"FAM76A","FAM76A_1",0.00742317241456146,0.0905160561614572,0.0820094547791658,12,0.935991221972919,0.991470511544439,9.02587287579821e-05,3307.06599703378,2773.27895124965,TRUE,FALSE,0.0905160561614572,0.0820094547791658,0.935991221972919,0.991470511544439
"RHOG","RHOG_3",0.0947576485354203,0.0884565236208322,1.0712341459585,12,0.30513675177365,0.939961488222278,0.000113805594754194,4393.18651464223,3669.98841353589,TRUE,FALSE,0.0884565236208322,1.0712341459585,0.30513675177365,0.939961488222278
"CBLB","CBLB_3",-1.10896066520716,0.760095351423203,-1.45897572341516,12,0.170246839631796,0.773324627480023,0.0564002950625112,2191894.73202928,33132.3196177881,TRUE,FALSE,0.760095351423203,-1.45897572341516,0.170246839631796,0.773324627480023
"STAT1","STAT1_2",0.0879924022167658,0.0672636941753909,1.3081708237333,12,0.215319231166539,0.848611087538713,5.41097878755977e-05,1878.72164803363,3025.75394110961,TRUE,FALSE,0.0672636941753909,1.3081708237333,0.215319231166539,0.848611087538713
"GOLGA1","GOLGA1_1",-0.0439141628559593,0.0971668942562777,-0.45194572896542,12,0.659368504984134,0.991470511544439,0.000121155088685444,4381.35567377048,3230.71972597013,TRUE,FALSE,0.0971668942562777,-0.45194572896542,0.659368504984134,0.991470511544439
"LRIG3","LRIG3_5",0.0622348126400581,0.0995982790947723,0.624858312871439,12,0.543762965174507,0.991470511544439,0.000123357150762153,4150.83574131433,3131.17010684474,TRUE,FALSE,0.0995982790947723,0.624858312871439,0.543762965174507,0.991470511544439
"GNA13","GNA13_2",0.146065235459159,0.163483041014568,0.893458028139713,12,0.38917906410331,0.946458807590111,0.000727620915792436,25269.2217581656,6900.46740481453,TRUE,FALSE,0.163483041014568,0.893458028139713,0.38917906410331,0.946458807590111
"ALDH3B1","ALDH3B1_6",0.0477173787071654,0.0973754405066832,0.490035048456498,12,0.632945778013295,0.991470511544439,0.000124037995344786,4339.90219585677,3293.27743237107,TRUE,FALSE,0.0973754405066832,0.490035048456498,0.632945778013295,0.991470511544439
"RASA2","RASA2_2",0.107457089832804,0.154148173028711,0.697102584620252,12,0.499021558709816,0.969114331407468,0.000583544296335526,19857.1558100032,6202.66014547491,TRUE,FALSE,0.154148173028711,0.697102584620252,0.499021558709816,0.969114331407468
"FBXO45","FBXO45_2",0.00350029272668288,0.0774320397309463,0.0452047077520542,12,0.964687691733944,0.991470511544439,7.7455324614279e-05,2716.60994007835,3256.2489419772,TRUE,FALSE,0.0774320397309463,0.0452047077520542,0.964687691733944,0.991470511544439
