gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
SPTLC2,SPTLC2_4,0.15850628195505612,0.1452854846092206,1.0909987489899349,5,0.32503489911211203,0.9382886371111536,0.00012293826158142932,2945.4321954362126,true,false,false,0.1452854846092206,1.0909987489899349,0.32503489911211203,0.9382886371111536
ALDH3B1,ALDH3B1_5,0.40185194038501704,0.40422557561731587,0.9941279439613044,5,0.3658049915020536,0.9440421243033528,0.0014587741180174896,4667.536783468693,true,false,false,0.40422557561731587,0.9941279439613044,0.3658049915020536,0.9440421243033528
GNAS,GNAS_2,0.27383618268077764,0.158658307519665,1.7259492235969858,5,0.14494625939629466,0.7740130251762135,0.00027291666664978464,5558.162685155062,true,false,false,0.158658307519665,1.7259492235969858,0.14494625939629466,0.7740130251762135
IFNG,IFNG_4,-0.5048203872743167,0.15743239654779778,-3.206585165087346,5,0.023819349712870294,0.4239844248890912,0.00018117628752843613,3911.0227206916284,true,false,false,0.15743239654779778,-3.206585165087346,0.023819349712870294,0.4239844248890912
STUB1,STUB1_2,0.1872880605911311,0.23288102976251016,0.8042220561379588,5,0.4577847106735149,0.9707892086745932,0.0003123512357857954,2915.837684474375,true,false,false,0.23288102976251016,0.8042220561379588,0.4577847106735149,0.9707892086745932
ZC3H12A,ZC3H12A_5,0.15009289836674908,0.10324149354181753,1.4538040202407048,5,0.20574297783761053,0.8743268416180361,0.00004207505025001099,2001.7558753730257,true,false,false,0.10324149354181753,1.4538040202407048,0.20574297783761053,0.8743268416180361
MED12,MED12_6,0.21063380501986717,0.1963692746534933,1.0726413558920793,5,0.33245076368898996,0.9382886371111536,0.00008274618361863969,1089.546266666863,true,false,false,0.1963692746534933,1.0726413558920793,0.33245076368898996,0.9382886371111536
STAT1,STAT1_2,0.12380623068618493,0.23560018610034075,0.5254929239888485,5,0.6217027006044133,0.9707892086745932,0.0005661831545498107,5148.396759606656,true,false,false,0.23560018610034075,0.5254929239888485,0.6217027006044133,0.9707892086745932
ZC3H12A,ZC3H12A_6,0.14809822304720185,0.3550196491833129,0.41715500363962094,5,0.6938709695761065,0.9707892086745932,0.0012840248796982486,5151.970505016584,true,false,false,0.3550196491833129,0.41715500363962094,0.6938709695761065,0.9707892086745932
STAT1,STAT1_3,-0.011312205027075322,0.16353217931183164,-0.0691741837886513,5,0.9475322368919028,0.9831576754935173,0.00019016512362048823,3573.3721722587406,true,false,false,0.16353217931183164,-0.0691741837886513,0.9475322368919028,0.9831576754935173
H2AFB3,H2AFB3_6,0.13042878409208633,0.2097905663757359,0.621709480770874,5,0.5613791965019351,0.9707892086745932,0.0001936097787594616,2216.807239699928,true,false,false,0.2097905663757359,0.621709480770874,0.5613791965019351,0.9707892086745932
