"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"GCSAM",6,-0.729618979656381,1.08309865457772e-05,0.00250565627772432,1,1.6840302347606,1.4966805594784,0.000169630196735674,-1.0025,2.0296e-07,2.615e-07,7.7e-05,FALSE,82,104
"GABRQ",6,-0.638305989509684,0.000147553437418436,0.0212052174835434,1,1.6840302347606,1.4966805594784,0.00278205129416832,-0.99692,5.7958e-08,2.615e-07,7.7e-05,FALSE,132,83
"CDKN2C",6,0.807254863707749,0.00282389378752611,0.158488950146066,1,1.6840302347606,1.4966805594784,0.0433486857793637,1.2945,7.1509e-08,7.8451e-07,0.000345,TRUE,338,85
"TNFRSF8",6,0.5993477228164,0.000115067538252174,0.0177465951271848,1,1.6840302347606,1.4966805594784,0.00218694857211913,0.81359,7.3573e-08,7.8451e-07,0.000345,TRUE,123,86
"SLA",6,-0.640369592188804,1.29883810857321e-05,0.00283206424363606,1,1.6840302347606,1.4966805594784,0.000200804569225938,-0.65826,4.8705e-07,2.615e-07,7.7e-05,FALSE,87,116
"PCBP2",6,-0.593143353381285,0.000118455567993265,0.0179768169986579,1,1.6840302347606,1.4966805594784,0.00223157917115223,-1.013,7.5977e-08,2.615e-07,7.7e-05,FALSE,125,88
"NDNF",6,-0.68885995980594,1.87257992419381e-05,0.00390062403636356,1,1.6840302347606,1.4966805594784,0.000304789042893804,-1.1327,1.2539e-06,1.3075e-06,0.000344,FALSE,90,132
"XKR9",4,-0.607171961017742,7.16693026084188e-05,0.0122483483827181,0.75,1.6840302347606,1.4966805594784,0.00133940553639712,-1.2314,8.1342e-08,2.615e-07,7.7e-05,FALSE,111,90
"CNR2",6,0.593265189231897,1.87755037455158e-05,0.00390062403636356,1,1.6840302347606,1.4966805594784,0.000304789042893804,0.83072,1.7819e-07,2.3535e-06,0.000841,TRUE,91,102
"PTPN12",6,-0.663000180808967,2.00468451357458e-05,0.00401075570920782,1,1.6840302347606,1.4966805594784,0.000317726096201572,-1.0996,8.5225e-08,2.615e-07,7.7e-05,FALSE,94,91
"EP300",6,0.624948521173069,1.90756919791213e-05,0.00390062403636356,1,1.6840302347606,1.4966805594784,0.000305167878581443,0.46956,5.9342e-06,2.0659e-05,0.00421,TRUE,92,180
"MAP3K12",6,0.619372369617712,0.00146531716524999,0.104108863763267,1,1.6840302347606,1.4966805594784,0.0242262951348072,1.039,9.3705e-08,1.8305e-06,0.000707,TRUE,267,92
"MALSU1",6,0.439356566260869,6.64319791153884e-05,0.0116449300740894,0.833333333333333,1.6840302347606,1.4966805594784,0.00125150096731958,0.61222,1.0255e-07,1.8305e-06,0.000707,TRUE,108,93
"RIN2",6,0.532457194270892,1.91227219494893e-05,0.00390062403636356,1,1.6840302347606,1.4966805594784,0.000305167878581443,0.75348,5.8757e-07,2.8765e-06,0.000923,TRUE,93,121
"MERTK",6,0.572660797799335,5.63444219583096e-05,0.00998928677148722,1,1.6840302347606,1.4966805594784,0.00102790635360816,0.78187,1.1498e-07,1.8305e-06,0.000707,TRUE,107,95
"HLA-DOA",6,0.533753643717447,2.24140848976019e-05,0.00442911656778655,1,1.6840302347606,1.4966805594784,0.000360784377010756,0.75356,3.9059e-06,1.9613e-05,0.00421,TRUE,96,162
"B3GNT5",6,-0.654221527755684,2.89869660920609e-05,0.00566889429656077,1,1.6840302347606,1.4966805594784,0.000492927784505082,-0.99796,6.174e-06,6.5376e-06,0.001303,FALSE,97,183
"SLC8A2",6,-0.58982610723502,0.000127901037426955,0.0189553334374167,0.833333333333333,1.6840302347606,1.4966805594784,0.00239897082916906,-0.93481,1.2961e-07,2.615e-07,7.7e-05,FALSE,128,97
"CDKN1A",6,1.02077505484094,0.000531832751724299,0.0548308005446193,1,1.6840302347606,1.4966805594784,0.00991968803142152,1.585,1.3265e-07,1.8305e-06,0.000707,TRUE,184,98
"IKZF1",6,-0.667013520268331,3.52135594126731e-05,0.006816339000596,1,1.6840302347606,1.4966805594784,0.000622687864705028,-1.0572,2.8025e-07,2.615e-07,7.7e-05,FALSE,98,108
"CNGB1",6,0.480249306284771,3.63109214906811e-05,0.00695775940079011,0.833333333333333,1.6840302347606,1.4966805594784,0.000640570998287988,0.44396,2.3991e-06,4.9685e-06,0.001344,TRUE,99,144
"LRRC25",6,-0.516377538602514,0.00266811729683287,0.154783440736757,0.833333333333333,1.6840302347606,1.4966805594784,0.0417496294833266,-1.2435,1.3978e-07,2.615e-07,7.7e-05,FALSE,327,99
"APOBEC3A",6,0.888640738959247,0.000764375378173091,0.0697125044420362,0.833333333333333,1.6840302347606,1.4966805594784,0.013804638569726,1.4588,1.4927e-07,1.8305e-06,0.000707,TRUE,208,100
"FOSB",6,0.540790667082323,4.04896341848143e-05,0.00768088360485927,0.833333333333333,1.6840302347606,1.4966805594784,0.000726939160945266,0.54733,5.1816e-07,2.8765e-06,0.000923,TRUE,100,118
"FOXD1",6,0.588930256617477,4.17471858148912e-05,0.00784103084067808,0.666666666666667,1.6840302347606,1.4966805594784,0.00074786877710614,0.77591,6.3076e-07,2.8765e-06,0.000923,TRUE,101,123
"KRT18",6,0.573062906254365,0.000141634659532869,0.0206677653179887,0.833333333333333,1.6840302347606,1.4966805594784,0.0026837421755454,0.94482,1.6264e-07,2.3535e-06,0.000841,TRUE,130,101
"YTHDC1",6,-0.528744302298373,5.24860069737744e-05,0.00973009875700823,0.833333333333333,1.6840302347606,1.4966805594784,0.00098505643366605,-0.6326,8.9435e-05,0.00010695,0.009288,FALSE,102,420
"SH3KBP1",6,-0.597816732338711,5.28307945161754e-05,0.00973009875700823,0.666666666666667,1.6840302347606,1.4966805594784,0.00098505643366605,-0.67384,2.4925e-06,2.3535e-06,0.000571,FALSE,103,146
"SIGLEC6",6,-0.589752560226806,0.000116694910807105,0.0178524391775063,1,1.6840302347606,1.4966805594784,0.00220779211394313,-0.66829,1.9367e-07,2.615e-07,7.7e-05,FALSE,124,103
"CEACAM1",6,-0.643921809409715,5.49035133064665e-05,0.00998928677148722,1,1.6840302347606,1.4966805594784,0.00102378052680281,-0.94376,3.1433e-07,2.615e-07,7.7e-05,FALSE,104,109
"C16orf92",6,0.489220763100285,5.59534003281123e-05,0.00998928677148722,0.666666666666667,1.6840302347606,1.4966805594784,0.00102790635360816,0.44654,0.00016886,0.00034806,0.026649,TRUE,105,502
"ITPKA",6,-0.674084610561814,0.000350222185040127,0.0417185504153829,1,1.6840302347606,1.4966805594784,0.00680736446437793,-0.89677,2.5402e-07,2.615e-07,7.7e-05,FALSE,159,106
"PRELP",6,-0.479605147100778,5.61275851311706e-05,0.00998928677148722,0.833333333333333,1.6840302347606,1.4966805594784,0.00102790635360816,-0.72656,2.5533e-06,2.3535e-06,0.000571,FALSE,106,148
"WNK4",6,-0.650196760814064,0.000572324533490506,0.0572402917957116,1,1.6840302347606,1.4966805594784,0.0105513668211941,-1.0684,2.7638e-07,2.615e-07,7.7e-05,FALSE,189,107
"TRIM6-TRIM34",6,-0.482900840646463,6.69107737520158e-05,0.0116449300740894,0.833333333333333,1.6840302347606,1.4966805594784,0.00125150096731958,-0.54075,0.00014271,0.00017338,0.013288,FALSE,109,476
