"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"RPS17",6,0.481005829093507,1.12854687998463e-08,2.52661730895382e-06,1,1.15494334255549,0.978166727433865,3.46382594043337e-09,0.83046,4.4014e-10,2.6138e-07,4.9e-05,TRUE,85,65
"RPL35",6,0.633561917827632,7.26588258158442e-10,2.09499614435684e-07,1,1.15494334255549,0.978166727433865,1.00146057079535e-10,1.0198,2.9155e-08,2.6138e-07,4.9e-05,TRUE,66,101
"CAD",6,0.621935651788944,1.04404745801647e-08,2.3652646578635e-06,1,1.15494334255549,0.978166727433865,3.14729112191036e-09,1.0868,5.4502e-10,2.6138e-07,4.9e-05,TRUE,84,67
"RPL27",6,0.603744545839425,1.03491793689599e-09,2.90707599996081e-07,1,1.15494334255549,0.978166727433865,1.59450043161637e-10,0.87912,1.1594e-08,2.6138e-07,4.9e-05,TRUE,67,90
"UTP14A",6,0.377997323508735,1.03878700997023e-09,2.90707599996081e-07,1,1.15494334255549,0.978166727433865,1.59450043161637e-10,0.47413,8.9224e-07,7.8413e-07,0.000122,TRUE,68,155
"IL2RB",6,0.556806893497179,1.22486312156267e-07,2.24126396185939e-05,1,1.15494334255549,0.978166727433865,7.65208319415534e-08,1.1063,9.0724e-10,2.6138e-07,4.9e-05,TRUE,104,69
"SURF6",6,0.517332408456071,1.97091908430367e-09,5.43573770642013e-07,1,1.15494334255549,0.978166727433865,3.81382531626229e-10,0.67722,2.0952e-09,2.6138e-07,4.9e-05,TRUE,69,74
"RBM14",6,0.326294927379946,1.63695989901912e-06,0.000208589812290332,0.666666666666667,1.15494334255549,0.978166727433865,1.91441814351904e-06,0.62614,1.4591e-09,2.6138e-07,4.9e-05,TRUE,149,70
"IL2RA",6,0.382382598453891,2.14112540931674e-09,5.73881923088699e-07,0.833333333333333,1.15494334255549,0.978166727433865,4.15670290679578e-10,0.57825,3.0212e-07,2.6138e-07,4.9e-05,TRUE,71,135
"SHOC2",6,-0.496341272989092,2.25289455380068e-09,5.95452546650374e-07,1,1.15494334255549,0.978166727433865,4.39810091869412e-10,-0.77036,5.593e-09,2.6138e-07,0.00015,FALSE,72,87
"UPF1",6,0.494609892093324,4.23649076500243e-09,1.07493892343995e-06,1,1.15494334255549,0.978166727433865,1.01191498039234e-09,0.71171,1.8992e-09,2.6138e-07,4.9e-05,TRUE,75,72
"UMPS",6,0.47944141395914,3.40469792319082e-09,8.75559479436774e-07,1,1.15494334255549,0.978166727433865,7.57870587129007e-10,0.59268,2.0765e-09,2.6138e-07,4.9e-05,TRUE,74,73
"NMT1",6,0.370499195815855,1.22209324673238e-08,2.70423656806013e-06,1,1.15494334255549,0.978166727433865,3.82226044479481e-09,0.47029,2.111e-09,2.6138e-07,4.9e-05,TRUE,86,75
