"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"NR4A3",6,-0.650460831790789,0.000199075879387646,0.0297359797793988,1,1.59586015040928,1.51911868264771,0.0137731627446374,-1.2589,7.8822e-08,2.615e-07,6.7e-05,FALSE,127,75
"TRIM28",6,-0.493629911224595,1.93530056816989e-05,0.00483061207607669,0.833333333333333,1.59586015040928,1.51911868264771,0.00177852629143875,-0.53011,1.0223e-05,3.1642e-05,0.005873,FALSE,76,202
"BEX4",6,0.53786747786463,1.99929451382983e-05,0.00492553466588986,1,1.59586015040928,1.51911868264771,0.001819324982938,0.78017,1.0107e-06,1.3075e-06,0.000344,TRUE,77,117
"COLQ",6,-0.575032265000448,2.33598757545282e-05,0.0056812415777359,1,1.59586015040928,1.51911868264771,0.00213103094034926,-0.73633,1.541e-06,2.615e-07,6.7e-05,FALSE,78,130
"KANK3",6,-0.556621997125247,2.61382840487531e-05,0.00626480153771306,1,1.59586015040928,1.51911868264771,0.00237871037390483,-0.74424,2.4492e-05,5.7269e-05,0.008091,FALSE,79,262
"SPN",6,-0.485634085982112,0.000514115368756717,0.0560744192397166,0.833333333333333,1.59586015040928,1.51911868264771,0.0284928654869057,-0.57756,1.1466e-07,2.615e-07,6.7e-05,FALSE,173,79
"CBX4",6,0.474933449478169,0.000268616163727674,0.0371945155176203,1,1.59586015040928,1.51911868264771,0.0177399829733109,0.72904,1.1786e-07,2.615e-07,9.9e-05,TRUE,137,80
"GPR20",6,0.405293157903754,2.64198272544568e-05,0.00626480153771306,0.833333333333333,1.59586015040928,1.51911868264771,0.00237871037390483,0.31431,2.7122e-05,6.4068e-05,0.008789,TRUE,80,270
"FOXA3",6,-0.661209856985549,2.72780955329035e-05,0.00638846262048369,0.833333333333333,1.59586015040928,1.51911868264771,0.00243334371679249,-1.0278,3.8273e-06,3.3995e-06,0.000795,FALSE,81,164
"PTPRC",6,-0.581798369462331,0.000112307066739246,0.0199108883742383,0.833333333333333,1.59586015040928,1.51911868264771,0.00871901746554592,-1.0643,1.2022e-07,2.615e-07,6.7e-05,FALSE,107,81
"IL9R",6,0.473602366224087,2.80027432220026e-05,0.00647819559660232,0.833333333333333,1.59586015040928,1.51911868264771,0.00247392719921534,0.73538,3.5522e-06,6.0145e-06,0.001372,TRUE,82,162
"TCF12",6,-0.725127443459961,0.000122798664814669,0.0205059868919328,1,1.59586015040928,1.51911868264771,0.00906958739452474,-1.1768,1.5089e-07,2.615e-07,6.7e-05,FALSE,112,83
"AMZ1",6,-0.395442098097097,0.00206230216480816,0.142261352968766,0.666666666666667,1.59586015040928,1.51911868264771,0.0826704919488323,-0.8679,1.5907e-07,2.615e-07,6.7e-05,FALSE,275,84
"KIF7",6,0.550728922938106,3.80385381502788e-05,0.00859036986560464,1,1.59586015040928,1.51911868264771,0.00338132585915178,0.41936,0.00023679,0.00052902,0.035388,TRUE,84,553
"EIF2B3",6,-0.46530924538447,0.000124018688879757,0.0205059868919328,0.833333333333333,1.59586015040928,1.51911868264771,0.00906958739452474,-0.87351,1.6247e-07,2.615e-07,6.7e-05,FALSE,114,85
"PRKD1",6,0.618498734492261,3.95122784975835e-05,0.0088182108599901,0.666666666666667,1.59586015040928,1.51911868264771,0.0034840580125597,0.80126,2.6694e-07,2.615e-07,9.9e-05,TRUE,85,92
"ARID3A",6,-0.651870074053536,4.46238831962799e-05,0.00979734900058176,1,1.59586015040928,1.51911868264771,0.00392033269840833,-0.91772,2.212e-07,2.615e-07,6.7e-05,FALSE,86,89
"LRRC52",6,-0.502825073640085,0.000216155868321385,0.0320349751723177,0.833333333333333,1.59586015040928,1.51911868264771,0.0149580099095483,-0.6453,1.6811e-07,2.615e-07,6.7e-05,FALSE,128,86
"HERC1",6,-0.549492266491267,0.000227911767746362,0.0332575864165268,1,1.59586015040928,1.51911868264771,0.0156095265104804,-0.92469,1.6912e-07,2.615e-07,6.7e-05,FALSE,130,87
"OPN4",6,0.509101133649475,4.49324914628684e-05,0.00979734900058176,0.833333333333333,1.59586015040928,1.51911868264771,0.00392033269840833,0.40289,0.00022707,0.00051751,0.034989,TRUE,87,548
"PRKCB",6,0.603510410356999,5.71178527120597e-05,0.0123127916584974,1,1.59586015040928,1.51911868264771,0.00504482659200197,0.77062,2.9516e-07,2.615e-07,9.9e-05,TRUE,88,95
"PLCG2",6,0.468757205415004,6.11573339960736e-05,0.0130354452348934,1,1.59586015040928,1.51911868264771,0.00537699447764416,0.63743,4.5925e-06,9.6756e-06,0.002105,TRUE,89,170
"TNFRSF1B",6,0.570095760805785,6.57317148120181e-05,0.0138210737656156,1,1.59586015040928,1.51911868264771,0.00575152227419142,0.74856,1.7735e-05,4.6286e-05,0.007182,TRUE,90,238
"POU2F2",6,0.485436183459329,9.51937886207455e-05,0.0177041781385838,0.833333333333333,1.59586015040928,1.51911868264771,0.007627789092859,0.821,2.5221e-07,2.615e-07,9.9e-05,TRUE,102,91
"UBASH3B",6,-0.686554101473895,6.63522700539897e-05,0.0138210737656156,0.833333333333333,1.59586015040928,1.51911868264771,0.00575152227419142,-1.0948,1.415e-05,4.1056e-05,0.007091,FALSE,91,218
